channels,pos_pixels,neg_pixels
0,964,1340
1,2304,0
2,1084,1220
3,927,1377
4,2304,0
5,670,1634
6,960,1344
7,952,1352
8,2304,0
9,831,1473
10,2304,0
11,876,1428
12,2304,0
13,2304,0
14,2304,0
15,477,1827
16,881,1423
17,2304,0
18,1048,1256
19,2304,0
20,2304,0
21,2304,0
22,1085,1219
23,996,1308
24,2304,0
25,1012,1292
26,1022,1282
27,2304,0
28,940,1364
29,937,1367
30,845,1459
31,2304,0
32,2304,0
33,962,1342
34,2304,0
35,369,1935
36,2304,0
37,2304,0
38,940,1364
39,1001,1303
40,971,1333
41,961,1343
42,959,1345
43,699,1605
44,876,1428
45,2304,0
46,743,1561
47,1001,1303
48,1023,1281
49,831,1473
50,2304,0
51,940,1364
52,2304,0
53,2304,0
54,2304,0
55,769,1535
56,2304,0
57,2304,0
58,944,1360
59,1074,1230
60,732,1572
61,991,1313
62,2304,0
63,1016,1288
64,987,1317
65,1071,1233
66,2304,0
67,2304,0
68,940,1364
69,903,1401
70,851,1453
71,2304,0
72,2304,0
73,2304,0
74,2286,18
75,2304,0
76,2304,0
77,2304,0
78,838,1466
79,2304,0
80,1020,1284
81,2304,0
82,2304,0
83,1118,1186
84,2304,0
85,891,1413
86,2304,0
87,984,1320
88,1045,1259
89,1163,1141
90,655,1649
91,954,1350
92,2304,0
93,2304,0
94,1112,1192
95,2304,0
96,2304,0
97,2304,0
98,874,1430
99,1131,1173
100,1021,1283
101,2304,0
102,2304,0
103,1133,1171
104,1020,1284
105,919,1385
106,973,1331
107,652,1652
108,2304,0
109,2304,0
110,1043,1261
111,946,1358
112,2304,0
113,2304,0
114,1015,1289
115,2304,0
116,884,1420
117,835,1469
118,975,1329
119,923,1381
120,2304,0
121,2304,0
122,1039,1265
123,2304,0
124,2304,0
125,2304,0
126,2304,0
127,905,1399
128,2304,0
129,754,1550
130,2304,0
131,2304,0
132,988,1316
133,817,1487
134,2304,0
135,2304,0
136,2304,0
137,2304,0
138,907,1397
139,2304,0
140,917,1387
141,911,1393
142,1085,1219
143,993,1311
144,1098,1206
145,2304,0
146,2304,0
147,793,1511
148,2304,0
149,2304,0
150,2304,0
151,930,1374
152,853,1451
153,2304,0
154,772,1532
155,937,1367
156,2304,0
157,843,1461
158,2304,0
159,2304,0
160,2304,0
161,2304,0
162,984,1320
163,2304,0
164,2304,0
165,1095,1209
166,825,1479
167,2304,0
168,2304,0
169,2304,0
170,2304,0
171,852,1452
172,2304,0
173,2304,0
174,934,1370
175,2304,0
176,2304,0
177,2304,0
178,863,1441
179,877,1427
180,2304,0
181,1110,1194
182,2304,0
183,2304,0
184,884,1420
185,1041,1263
186,2304,0
187,1000,1304
188,2304,0
189,987,1317
190,872,1432
191,1136,1168
192,990,1314
193,970,1334
194,901,1403
195,964,1340
196,772,1532
197,949,1355
198,1088,1216
199,1038,1266
200,2304,0
201,792,1512
202,2304,0
203,1003,1301
204,1154,1150
205,1096,1208
206,862,1442
207,2304,0
208,2304,0
209,2304,0
210,2304,0
211,2304,0
212,2304,0
213,879,1425
214,2304,0
215,2304,0
216,2304,0
217,532,1772
218,1116,1188
219,725,1579
220,1145,1159
221,735,1569
222,2304,0
223,1032,1272
224,2304,0
225,1002,1302
226,2304,0
227,763,1541
228,751,1553
229,946,1358
230,2304,0
231,2304,0
232,2304,0
233,892,1412
234,1054,1250
235,2304,0
236,2304,0
237,850,1454
238,764,1540
239,2304,0
240,902,1402
241,2304,0
242,1044,1260
243,2304,0
244,2304,0
245,880,1424
246,2304,0
247,2304,0
248,1030,1274
249,2304,0
250,2304,0
251,2304,0
252,926,1378
253,829,1475
254,891,1413
255,990,1314
256,2304,0
257,964,1340
258,816,1488
259,2304,0
260,908,1396
261,2304,0
262,986,1318
263,1103,1201
264,1055,1249
265,2304,0
266,2304,0
267,2304,0
268,1040,1264
269,2304,0
270,1125,1179
271,942,1362
272,2304,0
273,2304,0
274,924,1380
275,869,1435
276,774,1530
277,2304,0
278,2304,0
279,2304,0
280,2304,0
281,1126,1178
282,2304,0
283,1055,1249
284,1004,1300
285,2304,0
286,1009,1295
287,807,1497
288,2304,0
289,2304,0
290,2304,0
291,1000,1304
292,1025,1279
293,746,1558
294,2304,0
295,2304,0
296,2304,0
297,880,1424
298,2304,0
299,1060,1244
300,2304,0
301,1023,1281
302,864,1440
303,852,1452
304,2304,0
305,1002,1302
306,2304,0
307,2304,0
308,2304,0
309,2304,0
310,2304,0
311,2304,0
312,1076,1228
313,884,1420
314,2304,0
315,793,1511
316,985,1319
317,962,1342
318,931,1373
319,898,1406
320,2304,0
321,1016,1288
322,2304,0
323,885,1419
324,967,1337
325,2304,0
326,884,1420
327,2304,0
328,954,1350
329,962,1342
330,583,1721
331,2304,0
332,2304,0
333,973,1331
334,2304,0
335,2304,0
336,2304,0
337,885,1419
338,963,1341
339,2304,0
340,1205,1099
341,2304,0
342,842,1462
343,914,1390
344,1142,1162
345,864,1440
346,2304,0
347,2304,0
348,999,1305
349,810,1494
350,928,1376
351,931,1373
352,927,1377
353,2304,0
