channels,pos_pixels,neg_pixels
0,14578,22286
1,36864,0
2,36864,0
3,36864,0
4,36864,0
5,11192,25672
6,36864,0
7,11573,25291
8,11830,25034
9,36864,0
10,17762,19102
11,36864,0
12,11446,25418
13,36864,0
14,36864,0
15,36864,0
16,10759,26105
17,36864,0
18,36864,0
19,36864,0
20,12594,24270
21,36864,0
22,14219,22645
23,36864,0
24,19645,17219
25,18485,18379
26,30180,6684
27,36864,0
28,29818,7046
29,23840,13024
30,21596,15268
31,22566,14298
32,14432,22432
33,11358,25506
34,25210,11654
35,22433,14431
36,36864,0
37,36864,0
38,20582,16282
39,18616,18248
40,13435,23429
41,11826,25038
42,15900,20964
43,36864,0
44,36864,0
45,27658,9206
46,36864,0
47,16794,20070
48,36864,0
49,36864,0
50,36864,0
51,13648,23216
52,17125,19739
53,36864,0
54,36864,0
55,14193,22671
56,12629,24235
57,36864,0
58,36864,0
59,36864,0
60,36864,0
61,12758,24106
62,21250,15614
63,17025,19839
64,36864,0
65,36864,0
66,16294,20570
67,20150,16714
68,36864,0
69,18394,18470
70,18049,18815
71,8995,27869
72,22723,14141
73,14697,22167
74,15878,20986
75,24177,12687
76,16425,20439
77,36864,0
78,13850,23014
79,17353,19511
80,36864,0
81,36864,0
82,36864,0
83,22764,14100
84,36864,0
85,36864,0
86,14949,21915
87,23379,13485
88,36864,0
89,19649,17215
90,20725,16139
91,20919,15945
92,36864,0
93,17030,19834
94,36864,0
95,16344,20520
96,9132,27732
97,36864,0
98,13678,23186
99,36864,0
100,15446,21418
101,36864,0
102,11752,25112
103,23671,13193
104,18004,18860
105,36864,0
106,36864,0
107,36864,0
108,18121,18743
109,14834,22030
110,21430,15434
111,36864,0
112,36864,0
113,24676,12188
114,12988,23876
115,21992,14872
116,36864,0
117,19799,17065
118,25712,11152
119,36864,0
120,36864,0
121,36864,0
122,17390,19474
123,36864,0
124,36864,0
125,11332,25532
126,36864,0
127,14215,22649
