channels,pos_pixels,neg_pixels
0,9216,0
1,9216,0
2,9216,0
3,9216,0
4,9216,0
5,9216,0
6,5491,3725
7,9216,0
8,9216,0
9,4388,4828
10,9216,0
11,9216,0
12,5200,4016
13,9216,0
14,3632,5584
15,4153,5063
16,4618,4598
17,9216,0
18,9216,0
19,9216,0
20,5669,3547
21,4624,4592
22,3766,5450
23,5365,3851
24,9216,0
25,9216,0
26,9216,0
27,5523,3693
28,3975,5241
29,9216,0
30,9216,0
31,5185,4031
32,9216,0
33,4276,4940
34,4910,4306
35,4325,4891
36,3839,5377
37,9216,0
38,3754,5462
39,9216,0
40,9216,0
41,9216,0
42,4226,4990
43,9216,0
44,9216,0
45,9216,0
46,4240,4976
47,9216,0
48,5295,3921
49,9216,0
50,4934,4282
51,9216,0
52,4326,4890
53,3506,5710
54,9216,0
55,9216,0
56,4966,4250
57,9216,0
58,9216,0
59,3903,5313
60,5931,3285
61,9216,0
62,3573,5643
63,9216,0
64,9216,0
65,9216,0
66,4686,4530
67,4382,4834
68,4723,4493
69,9216,0
70,9216,0
71,9216,0
72,9216,0
73,9216,0
74,9216,0
75,3779,5437
76,3977,5239
77,9216,0
78,9216,0
79,6095,3121
80,9216,0
81,9216,0
82,5067,4149
83,4621,4595
84,4699,4517
85,3533,5683
86,9216,0
87,3159,6057
88,4395,4821
89,9216,0
90,4248,4968
91,9216,0
92,9216,0
93,5028,4188
94,9216,0
95,9216,0
96,9216,0
97,9216,0
98,9216,0
99,4295,4921
100,9216,0
101,4379,4837
102,9216,0
103,9216,0
104,4154,5062
105,3938,5278
106,9216,0
107,4383,4833
108,3624,5592
109,4117,5099
110,9216,0
111,3697,5519
112,3904,5312
113,9216,0
114,3891,5325
115,4873,4343
116,9216,0
117,4074,5142
118,9216,0
119,9216,0
120,3894,5322
121,9216,0
122,4762,4454
123,4407,4809
124,9216,0
125,4489,4727
126,9216,0
127,9216,0
128,4751,4465
129,9216,0
130,9216,0
131,4334,4882
132,9216,0
133,4146,5070
134,4111,5105
135,9216,0
136,9216,0
137,3975,5241
138,4512,4704
139,9216,0
140,4736,4480
141,4205,5011
142,4227,4989
143,9216,0
144,9216,0
145,4122,5094
146,9216,0
147,3911,5305
148,9216,0
149,9216,0
150,9216,0
151,9216,0
152,9216,0
153,9216,0
154,3147,6069
155,3536,5680
156,4200,5016
157,3921,5295
158,4516,4700
159,9216,0
160,4395,4821
161,9216,0
162,9216,0
163,3440,5776
164,4828,4388
165,9216,0
166,3866,5350
167,9216,0
168,9216,0
169,4257,4959
170,9216,0
171,4074,5142
172,3462,5754
173,9216,0
174,4383,4833
175,9216,0
176,9216,0
177,9216,0
178,4048,5168
179,2494,6722
180,4309,4907
181,3944,5272
182,3752,5464
183,9216,0
184,9216,0
185,4221,4995
186,3997,5219
187,4635,4581
188,3468,5748
189,4554,4662
190,4922,4294
191,3773,5443
192,2884,6332
193,4742,4474
194,9216,0
195,9216,0
196,5480,3736
197,9216,0
198,3601,5615
199,5139,4077
200,3524,5692
201,4098,5118
202,4074,5142
203,8423,793
204,5007,4209
205,9216,0
206,4818,4398
207,9216,0
208,9216,0
209,9216,0
210,4334,4882
211,3682,5534
212,9216,0
213,4275,4941
214,3943,5273
215,9216,0
216,3754,5462
217,9216,0
218,9216,0
219,3197,6019
220,4291,4925
221,9216,0
222,9216,0
223,4271,4945
224,9216,0
225,9216,0
226,3707,5509
227,9216,0
228,9216,0
229,4415,4801
230,9216,0
231,9216,0
232,9216,0
233,4676,4540
234,3158,6058
235,9216,0
236,9216,0
237,9216,0
238,9216,0
239,9216,0
240,4197,5019
241,9216,0
242,9216,0
243,9216,0
244,3428,5788
245,5596,3620
246,9216,0
247,9216,0
248,3735,5481
249,9216,0
250,9216,0
251,5386,3830
252,3341,5875
253,4758,4458
254,9216,0
255,4231,4985
