channels,pos_pixels,neg_pixels
0,576,0
1,341,235
2,281,295
3,576,0
4,576,0
5,576,0
6,261,315
7,576,0
8,262,314
9,576,0
10,576,0
11,576,0
12,294,282
13,273,303
14,576,0
15,286,290
16,576,0
17,576,0
18,576,0
19,279,297
20,265,311
21,576,0
22,320,256
23,308,268
24,250,326
25,305,271
26,576,0
27,314,262
28,576,0
29,576,0
30,576,0
31,275,301
32,576,0
33,239,337
34,576,0
35,576,0
36,576,0
37,576,0
38,576,0
39,576,0
40,234,342
41,339,237
42,313,263
43,301,275
44,268,308
45,258,318
46,311,265
47,576,0
48,264,312
49,265,311
50,273,303
51,576,0
52,280,296
53,281,295
54,257,319
55,576,0
56,289,287
57,231,345
58,257,319
59,576,0
60,240,336
61,245,331
62,241,335
63,576,0
64,274,302
65,342,234
66,576,0
67,299,277
68,260,316
69,576,0
70,267,309
71,576,0
72,257,319
73,576,0
74,576,0
75,275,301
76,576,0
77,209,367
78,576,0
79,227,349
80,236,340
81,313,263
82,576,0
83,576,0
84,273,303
85,279,297
86,576,0
87,258,318
88,263,313
89,288,288
90,576,0
91,250,326
92,576,0
93,205,371
94,219,357
95,576,0
96,576,0
97,254,322
98,576,0
99,231,345
100,255,321
101,235,341
102,275,301
103,257,319
104,576,0
105,241,335
106,576,0
107,576,0
108,576,0
109,576,0
110,237,339
111,576,0
112,246,330
113,265,311
114,300,276
115,282,294
116,296,280
117,286,290
118,290,286
119,214,362
120,576,0
121,576,0
122,576,0
123,298,278
124,576,0
125,311,265
126,254,322
127,268,308
128,265,311
129,274,302
130,576,0
131,576,0
132,576,0
133,576,0
134,576,0
135,250,326
136,576,0
137,272,304
138,576,0
139,303,273
140,576,0
141,576,0
142,276,300
143,260,316
144,254,322
145,576,0
146,576,0
147,576,0
148,254,322
149,576,0
150,576,0
151,576,0
152,576,0
153,576,0
154,205,371
155,576,0
156,576,0
157,576,0
158,576,0
159,576,0
160,576,0
161,576,0
162,576,0
163,253,323
164,225,351
165,576,0
166,576,0
167,329,247
168,269,307
169,290,286
170,576,0
171,292,284
172,264,312
173,576,0
174,267,309
175,576,0
176,269,307
177,576,0
178,576,0
179,319,257
180,284,292
181,576,0
182,269,307
183,576,0
184,244,332
185,297,279
186,576,0
187,576,0
188,296,280
189,297,279
190,255,321
191,576,0
192,272,304
193,576,0
194,576,0
195,256,320
196,211,365
197,248,328
198,576,0
199,245,331
200,576,0
201,212,364
202,576,0
203,314,262
204,576,0
205,576,0
206,576,0
207,576,0
208,576,0
209,263,313
210,576,0
211,244,332
212,576,0
213,171,405
214,221,355
215,232,344
216,576,0
217,307,269
218,576,0
219,576,0
220,226,350
221,256,320
222,576,0
223,247,329
224,576,0
225,576,0
226,198,378
227,576,0
228,300,276
229,252,324
230,576,0
231,576,0
232,288,288
233,576,0
234,196,380
235,243,333
236,576,0
237,576,0
238,576,0
239,274,302
240,255,321
241,576,0
242,576,0
243,213,363
244,576,0
245,576,0
246,243,333
247,576,0
248,576,0
249,576,0
250,576,0
251,268,308
252,576,0
253,576,0
254,245,331
255,576,0
256,576,0
257,215,361
258,284,292
259,228,348
260,274,302
261,375,201
262,576,0
263,279,297
264,576,0
265,257,319
266,263,313
267,576,0
268,271,305
269,327,249
270,164,412
271,288,288
272,576,0
273,296,280
274,576,0
275,576,0
276,576,0
277,576,0
278,576,0
279,299,277
280,229,347
281,576,0
282,576,0
283,576,0
284,277,299
285,281,295
286,576,0
287,268,308
288,331,245
289,576,0
290,576,0
291,576,0
292,251,325
293,328,248
