channels,pos_pixels,neg_pixels
0,9216,0
1,3486,5730
2,5387,3829
3,4233,4983
4,3628,5588
5,4857,4359
6,9216,0
7,9216,0
8,9216,0
9,3182,6034
10,9216,0
11,9216,0
12,9216,0
13,4161,5055
14,4024,5192
15,4541,4675
16,2725,6491
17,9216,0
18,9216,0
19,4292,4924
20,9216,0
21,3134,6082
22,9216,0
23,3701,5515
24,9216,0
25,9216,0
26,3609,5607
27,9216,0
28,9216,0
29,3478,5738
30,9216,0
31,3602,5614
32,9216,0
33,3851,5365
34,3928,5288
35,9216,0
36,9216,0
37,9216,0
38,9216,0
39,4939,4277
40,9216,0
41,3364,5852
42,4774,4442
43,4032,5184
44,3572,5644
45,9216,0
46,3789,5427
47,9216,0
48,3704,5512
49,4334,4882
50,4383,4833
51,8485,731
52,3686,5530
53,3882,5334
54,3513,5703
55,9216,0
56,3179,6037
57,4886,4330
58,4897,4319
59,9216,0
60,3815,5401
61,9216,0
62,9216,0
63,3801,5415
64,9216,0
65,9216,0
66,4719,4497
67,9216,0
68,9216,0
69,9216,0
70,4271,4945
71,9216,0
72,9216,0
73,9216,0
74,4199,5017
75,9216,0
76,4604,4612
77,9216,0
78,9216,0
79,9216,0
80,3415,5801
81,9216,0
82,3679,5537
83,9216,0
84,9216,0
85,3733,5483
86,5049,4167
87,9216,0
88,3743,5473
89,9216,0
90,9216,0
91,5015,4201
92,9216,0
93,9216,0
94,3804,5412
95,9216,0
96,4026,5190
97,4356,4860
98,9216,0
99,9216,0
100,3367,5849
101,9216,0
102,3783,5433
103,9216,0
104,8957,259
105,3065,6151
106,9216,0
107,3681,5535
108,9216,0
109,9216,0
110,9216,0
111,9216,0
112,4072,5144
113,3649,5567
114,4235,4981
115,9216,0
116,9216,0
117,9216,0
118,9216,0
119,4205,5011
120,9216,0
121,9216,0
122,9216,0
123,9216,0
124,9216,0
125,4479,4737
126,9216,0
127,3977,5239
128,4542,4674
129,9216,0
130,4310,4906
131,3400,5816
132,9216,0
133,4148,5068
134,3643,5573
135,9216,0
136,3782,5434
137,9216,0
138,4131,5085
139,3924,5292
140,9216,0
141,3750,5466
142,9216,0
143,3600,5616
144,3530,5686
145,9216,0
146,9216,0
147,9216,0
148,9216,0
149,9216,0
150,4135,5081
151,4007,5209
152,4152,5064
153,9216,0
154,9216,0
155,5510,3706
156,9216,0
157,9216,0
158,4093,5123
159,9216,0
160,3895,5321
161,9216,0
162,9216,0
163,4660,4556
164,9216,0
165,9216,0
166,3453,5763
167,3601,5615
168,4019,5197
169,3386,5830
170,9216,0
171,9216,0
172,3198,6018
173,9216,0
174,3774,5442
175,7373,1843
176,9216,0
177,4076,5140
178,9216,0
179,9216,0
180,4231,4985
181,5153,4063
182,3672,5544
183,9216,0
184,9216,0
185,4659,4557
186,4650,4566
187,9216,0
188,3967,5249
189,3567,5649
190,9216,0
191,3964,5252
192,3610,5606
193,3791,5425
194,3569,5647
195,9216,0
196,9216,0
197,3942,5274
198,4573,4643
199,9216,0
200,4280,4936
201,4207,5009
202,9216,0
203,4457,4759
204,9216,0
205,9216,0
206,3594,5622
207,3177,6039
208,9216,0
209,4437,4779
210,3778,5438
211,9216,0
212,3479,5737
213,9216,0
214,9216,0
215,9216,0
216,3156,6060
217,4087,5129
218,9216,0
219,3822,5394
220,3603,5613
221,9216,0
222,9216,0
223,3865,5351
224,9216,0
225,3713,5503
226,3814,5402
227,4394,4822
228,4307,4909
229,9216,0
230,3859,5357
231,9216,0
232,4995,4221
233,9216,0
234,4429,4787
235,3126,6090
236,9216,0
237,9216,0
238,9216,0
239,9216,0
240,9216,0
241,9216,0
242,9216,0
243,3164,6052
244,9216,0
245,9216,0
246,4541,4675
247,9216,0
248,9216,0
249,4132,5084
250,9216,0
251,9216,0
252,9216,0
253,9216,0
254,4222,4994
255,9216,0
