channels,pos_pixels,neg_pixels
0,1027,1277
1,847,1457
2,2304,0
3,2304,0
4,2304,0
5,2304,0
6,2304,0
7,1107,1197
8,1152,1152
9,770,1534
10,2304,0
11,960,1344
12,2304,0
13,995,1309
14,2304,0
15,1031,1273
16,2304,0
17,816,1488
18,1365,939
19,2304,0
20,2304,0
21,902,1402
22,2304,0
23,874,1430
24,2304,0
25,845,1459
26,1037,1267
27,2304,0
28,2304,0
29,2304,0
30,2304,0
31,2304,0
32,2304,0
33,965,1339
34,2304,0
35,2304,0
36,1170,1134
37,2304,0
38,886,1418
39,1041,1263
40,1027,1277
41,2304,0
42,2304,0
43,867,1437
44,971,1333
45,658,1646
46,2304,0
47,2304,0
48,953,1351
49,2304,0
50,904,1400
51,993,1311
52,2304,0
53,920,1384
54,964,1340
55,1053,1251
56,847,1457
57,829,1475
58,972,1332
59,2304,0
60,2304,0
61,1120,1184
62,1152,1152
63,2304,0
64,2304,0
65,1286,1018
66,2304,0
67,882,1422
68,1038,1266
69,827,1477
70,2304,0
71,2304,0
72,2304,0
73,2304,0
74,1099,1205
75,994,1310
76,2304,0
77,1026,1278
78,2304,0
79,2304,0
80,1000,1304
81,624,1680
82,833,1471
83,891,1413
84,664,1640
85,1068,1236
86,2304,0
87,2304,0
88,1106,1198
89,1068,1236
90,772,1532
91,1079,1225
92,739,1565
93,2304,0
94,2304,0
95,2304,0
96,2304,0
97,2304,0
98,2304,0
99,716,1588
100,1088,1216
101,2304,0
102,2304,0
103,837,1467
104,2304,0
105,2304,0
106,723,1581
107,882,1422
108,2304,0
109,1057,1247
110,2304,0
111,2304,0
112,2304,0
113,2304,0
114,2304,0
115,2304,0
116,850,1454
117,2304,0
118,2304,0
119,1003,1301
120,1096,1208
121,925,1379
122,2304,0
123,989,1315
124,2304,0
125,934,1370
126,2304,0
127,859,1445
128,2304,0
129,2304,0
130,949,1355
131,2304,0
132,1007,1297
133,873,1431
134,2304,0
135,2304,0
136,2304,0
137,2304,0
138,1106,1198
139,2304,0
140,1123,1181
141,2304,0
142,2304,0
143,798,1506
144,833,1471
145,2304,0
146,979,1325
147,2304,0
148,988,1316
149,2304,0
150,946,1358
151,2304,0
152,2304,0
153,2304,0
154,974,1330
155,865,1439
156,2304,0
157,2304,0
158,608,1696
159,1061,1243
160,2304,0
161,2304,0
162,889,1415
163,1170,1134
164,2304,0
165,2304,0
166,2304,0
167,2304,0
168,851,1453
169,915,1389
170,946,1358
171,1094,1210
172,988,1316
173,2304,0
174,948,1356
175,2304,0
176,925,1379
177,814,1490
178,2304,0
179,747,1557
180,2304,0
181,2304,0
182,2304,0
183,2304,0
184,1227,1077
185,2304,0
186,2304,0
187,2304,0
188,1032,1272
189,2304,0
190,2304,0
191,2304,0
192,871,1433
193,995,1309
194,976,1328
195,866,1438
196,913,1391
197,2304,0
198,2304,0
199,2304,0
200,2304,0
201,2304,0
202,1057,1247
203,2304,0
204,648,1656
205,1061,1243
206,996,1308
207,2304,0
208,2304,0
209,2304,0
210,1009,1295
211,1054,1250
212,2304,0
213,880,1424
214,2304,0
215,2304,0
216,2304,0
217,925,1379
218,1023,1281
219,2304,0
220,2304,0
221,2304,0
222,2304,0
223,1000,1304
224,2304,0
