channels,pos_pixels,neg_pixels
0,24021,12843
1,27107,9757
2,36864,0
3,20095,16769
4,21900,14964
5,36864,0
6,36864,0
7,21672,15192
8,36864,0
9,25393,11471
10,36864,0
11,22545,14319
12,19412,17452
13,36864,0
14,27983,8881
15,36864,0
16,25310,11554
17,26196,10668
18,22226,14638
19,10595,26269
20,36864,0
21,36864,0
22,36864,0
23,23554,13310
24,36864,0
25,24170,12694
26,36864,0
27,36864,0
28,23284,13580
29,36864,0
30,36864,0
31,36864,0
32,36864,0
33,36864,0
34,18489,18375
35,36864,0
36,20901,15963
37,33283,3581
38,20912,15952
39,36864,0
40,36864,0
41,20866,15998
42,19075,17789
43,22074,14790
44,22317,14547
45,23494,13370
46,24168,12696
47,21685,15179
48,36864,0
49,36864,0
50,13232,23632
51,25059,11805
52,21324,15540
53,14415,22449
54,26479,10385
55,21229,15635
56,25358,11506
57,27787,9077
58,21197,15667
59,36864,0
60,23457,13407
61,36864,0
62,36864,0
63,36864,0
