channels,pos_pixels,neg_pixels
0,1103,1201
1,801,1503
2,851,1453
3,618,1686
4,849,1455
5,1105,1199
6,901,1403
7,1030,1274
8,857,1447
9,702,1602
10,976,1328
11,851,1453
12,834,1470
13,892,1412
14,776,1528
15,1030,1274
16,1027,1277
17,109,2195
18,1030,1274
19,872,1432
20,693,1611
21,1039,1265
22,954,1350
23,730,1574
24,1000,1304
25,853,1451
26,270,2034
27,884,1420
28,813,1491
29,857,1447
30,1005,1299
31,904,1400
32,709,1595
33,903,1401
34,949,1355
35,978,1326
36,1071,1233
37,948,1356
38,797,1507
39,776,1528
40,791,1513
41,1030,1274
42,952,1352
43,715,1589
44,984,1320
45,903,1401
46,1018,1286
47,579,1725
48,811,1493
49,1026,1278
50,971,1333
51,998,1306
52,729,1575
53,948,1356
54,1012,1292
55,777,1527
56,883,1421
57,1016,1288
58,870,1434
59,865,1439
60,897,1407
61,915,1389
62,1011,1293
63,211,2093
64,1005,1299
65,606,1698
66,694,1610
67,887,1417
68,955,1349
69,842,1462
70,1005,1299
71,986,1318
72,1016,1288
73,879,1425
74,695,1609
75,942,1362
76,835,1469
77,944,1360
78,1057,1247
79,840,1464
80,976,1328
81,502,1802
82,1039,1265
83,884,1420
84,936,1368
85,961,1343
86,980,1324
87,776,1528
88,698,1606
89,656,1648
90,900,1404
91,1071,1233
92,887,1417
93,952,1352
94,884,1420
95,859,1445
96,811,1493
97,1007,1297
98,1054,1250
99,985,1319
100,835,1469
101,974,1330
102,929,1375
103,869,1435
104,1068,1236
105,945,1359
106,664,1640
107,740,1564
108,837,1467
109,989,1315
110,100,2204
111,882,1422
112,991,1313
113,733,1571
114,788,1516
115,1103,1201
116,1146,1158
117,877,1427
118,1007,1297
119,963,1341
120,970,1334
121,1038,1266
122,944,1360
123,832,1472
124,1056,1248
125,997,1307
126,799,1505
127,934,1370
128,984,1320
129,830,1474
130,997,1307
131,932,1372
132,748,1556
133,882,1422
134,813,1491
135,950,1354
136,958,1346
137,949,1355
138,887,1417
139,764,1540
140,1072,1232
141,911,1393
142,910,1394
143,817,1487
144,960,1344
145,877,1427
146,976,1328
147,834,1470
148,911,1393
149,1033,1271
150,927,1377
151,673,1631
152,889,1415
153,99,2205
154,938,1366
155,862,1442
156,984,1320
157,975,1329
158,953,1351
159,971,1333
160,823,1481
161,814,1490
162,898,1406
163,830,1474
164,812,1492
165,971,1333
166,849,1455
167,849,1455
168,911,1393
169,943,1361
170,836,1468
171,762,1542
172,803,1501
173,857,1447
174,855,1449
175,931,1373
176,838,1466
177,843,1461
178,903,1401
179,1028,1276
180,997,1307
181,932,1372
182,917,1387
183,132,2172
184,130,2174
185,1031,1273
186,705,1599
187,1002,1302
188,1039,1265
189,976,1328
190,763,1541
191,834,1470
192,1013,1291
193,1018,1286
194,905,1399
195,980,1324
196,940,1364
197,831,1473
198,935,1369
199,279,2025
200,784,1520
201,953,1351
202,935,1369
203,1056,1248
204,909,1395
205,1066,1238
206,992,1312
207,1008,1296
208,894,1410
209,1002,1302
210,963,1341
211,1045,1259
212,409,1895
213,988,1316
214,1053,1251
215,860,1444
216,820,1484
217,1002,1302
218,1007,1297
219,1003,1301
220,801,1503
221,787,1517
222,1056,1248
223,965,1339
224,900,1404
225,1022,1282
226,653,1651
227,964,1340
228,807,1497
229,843,1461
230,873,1431
231,711,1593
232,894,1410
233,796,1508
234,118,2186
235,807,1497
236,892,1412
237,643,1661
238,859,1445
239,909,1395
240,972,1332
241,1085,1219
242,978,1326
243,925,1379
244,921,1383
245,659,1645
246,968,1336
247,964,1340
248,673,1631
249,1052,1252
250,899,1405
251,948,1356
252,983,1321
253,962,1342
254,726,1578
255,1140,1164
256,1017,1287
257,934,1370
258,994,1310
259,1115,1189
260,972,1332
261,834,1470
262,706,1598
263,913,1391
264,1072,1232
265,1026,1278
266,1135,1169
267,713,1591
268,926,1378
269,777,1527
270,768,1536
271,876,1428
272,881,1423
273,899,1405
274,1060,1244
275,827,1477
276,981,1323
