channels,pos_pixels,neg_pixels
0,25286,11578
1,24893,11971
2,15075,21789
3,19458,17406
4,22614,14250
5,23585,13279
6,23652,13212
7,22849,14015
8,24062,12802
9,17066,19798
10,24340,12524
11,22680,14184
12,26529,10335
13,26949,9915
14,27344,9520
15,23012,13852
16,26240,10624
17,21013,15851
18,22824,14040
19,25702,11162
20,21850,15014
21,22640,14224
22,22683,14181
23,26733,10131
24,26083,10781
25,23000,13864
26,28218,8646
27,25749,11115
28,25371,11493
29,22556,14308
30,21636,15228
31,23106,13758
32,20922,15942
33,25678,11186
34,22505,14359
35,22033,14831
36,23129,13735
37,22824,14040
38,13403,23461
39,22722,14142
40,23613,13251
41,28056,8808
42,17423,19441
43,12295,24569
44,22255,14609
45,20614,16250
46,20912,15952
47,26230,10634
48,20980,15884
49,23512,13352
50,20838,16026
51,21388,15476
52,17229,19635
53,22532,14332
54,23394,13470
55,24017,12847
56,20574,16290
57,18358,18506
58,26969,9895
59,21455,15409
60,17370,19494
61,21698,15166
62,23850,13014
63,21776,15088
