channels,pos_pixels,neg_pixels
0,20529,16335
1,14721,22143
2,16509,20355
3,15023,21841
4,12824,24040
5,16651,20213
6,15255,21609
7,20930,15934
8,16200,20664
9,14815,22049
10,13984,22880
11,21816,15048
12,10491,26373
13,18111,18753
14,11641,25223
15,21088,15776
16,18025,18839
17,22160,14704
18,15895,20969
19,11556,25308
20,20232,16632
21,16162,20702
22,14610,22254
23,12494,24370
24,20221,16643
25,13097,23767
26,21398,15466
27,21714,15150
28,20488,16376
29,13887,22977
30,21893,14971
31,14703,22161
32,11069,25795
33,20706,16158
34,17912,18952
35,12939,23925
36,16791,20073
37,15649,21215
38,12884,23980
39,13209,23655
40,13682,23182
41,14330,22534
42,17493,19371
43,13426,23438
44,11824,25040
45,20113,16751
46,14918,21946
47,14486,22378
48,13757,23107
49,20838,16026
50,20263,16601
51,15409,21455
52,13897,22967
53,22639,14225
54,15615,21249
55,20630,16234
56,17380,19484
57,15713,21151
58,15388,21476
59,13118,23746
60,14275,22589
61,20584,16280
62,18475,18389
63,16317,20547
64,16381,20483
65,14725,22139
66,14626,22238
67,13852,23012
68,16739,20125
69,10467,26397
70,19601,17263
71,17541,19323
72,19281,17583
73,13971,22893
74,14381,22483
75,21832,15032
76,22502,14362
77,15049,21815
78,18105,18759
79,23190,13674
80,21734,15130
81,14571,22293
82,20293,16571
83,20539,16325
84,22950,13914
85,14674,22190
86,20075,16789
87,20659,16205
88,12884,23980
89,17967,18897
90,14348,22516
91,19297,17567
92,16017,20847
93,14723,22141
94,16268,20596
95,16015,20849
96,13677,23187
97,13766,23098
98,18663,18201
99,21650,15214
100,10531,26333
101,23194,13670
102,19460,17404
103,11247,25617
104,20365,16499
105,19660,17204
106,22805,14059
107,19021,17843
108,21262,15602
109,13771,23093
110,15345,21519
111,13099,23765
112,19256,17608
113,15377,21487
114,18471,18393
115,21363,15501
116,21964,14900
117,15778,21086
118,16685,20179
119,16911,19953
120,13317,23547
121,20242,16622
122,12851,24013
123,20088,16776
124,13726,23138
125,17417,19447
126,18778,18086
127,12456,24408
