channels,pos_pixels,neg_pixels
0,4625,4591
1,4225,4991
2,4139,5077
3,4167,5049
4,4208,5008
5,3767,5449
6,5519,3697
7,5134,4082
8,3847,5369
9,4765,4451
10,3121,6095
11,3373,5843
12,3776,5440
13,4315,4901
14,3955,5261
15,3057,6159
16,4827,4389
17,4297,4919
18,4432,4784
19,3061,6155
20,2942,6274
21,2707,6509
22,5106,4110
23,4452,4764
24,4452,4764
25,3638,5578
26,3113,6103
27,4100,5116
28,4660,4556
29,5015,4201
30,2808,6408
31,3612,5604
32,3928,5288
33,3388,5828
34,3563,5653
35,4317,4899
36,4603,4613
37,4965,4251
38,4078,5138
39,3788,5428
40,4651,4565
41,3703,5513
42,5433,3783
43,3774,5442
44,4573,4643
45,4782,4434
46,5398,3818
47,3244,5972
48,4491,4725
49,3288,5928
50,2624,6592
51,3118,6098
52,3317,5899
53,3329,5887
54,3718,5498
55,5212,4004
56,3318,5898
57,4272,4944
58,3953,5263
59,4452,4764
60,3492,5724
61,5064,4152
62,3313,5903
63,4512,4704
64,3533,5683
65,3320,5896
66,4095,5121
67,4199,5017
68,3513,5703
69,4531,4685
70,3992,5224
71,5556,3660
72,5103,4113
73,4725,4491
74,3629,5587
75,3420,5796
76,4612,4604
77,2767,6449
78,4271,4945
79,3924,5292
80,3263,5953
81,5058,4158
82,4125,5091
83,4507,4709
84,4847,4369
85,3511,5705
86,4843,4373
87,4593,4623
88,2741,6475
89,3971,5245
90,3884,5332
91,3663,5553
92,3895,5321
93,3952,5264
94,3268,5948
95,4166,5050
96,4134,5082
97,3300,5916
98,4738,4478
99,4735,4481
100,4163,5053
101,2652,6564
102,4626,4590
103,4965,4251
104,4147,5069
105,3952,5264
106,3183,6033
107,4533,4683
108,4712,4504
109,5071,4145
110,4841,4375
111,3871,5345
112,3427,5789
113,3710,5506
114,3788,5428
115,2760,6456
116,4510,4706
117,5077,4139
118,3046,6170
119,4285,4931
120,2909,6307
121,4005,5211
122,4241,4975
123,4857,4359
124,4615,4601
125,4200,5016
126,3675,5541
127,3564,5652
128,4555,4661
129,4511,4705
130,4010,5206
131,4069,5147
132,3914,5302
133,4348,4868
134,3594,5622
135,3329,5887
136,4524,4692
137,4863,4353
138,4605,4611
139,3996,5220
140,3656,5560
141,4401,4815
142,4954,4262
143,4122,5094
144,4895,4321
145,4286,4930
146,3690,5526
147,2951,6265
148,5204,4012
149,5657,3559
150,3822,5394
151,4555,4661
152,3645,5571
153,3906,5310
154,4145,5071
155,5107,4109
156,4768,4448
157,3648,5568
158,4151,5065
159,4303,4913
160,4270,4946
161,3652,5564
162,4204,5012
163,3648,5568
164,3315,5901
165,4178,5038
166,4951,4265
167,3523,5693
168,4217,4999
169,3799,5417
170,4105,5111
171,6496,2720
172,3861,5355
173,4454,4762
174,4597,4619
175,3371,5845
176,3640,5576
177,3671,5545
178,3584,5632
179,4420,4796
180,4534,4682
181,6436,2780
182,4338,4878
183,3709,5507
184,4024,5192
185,4089,5127
186,4294,4922
187,3727,5489
188,4940,4276
189,4589,4627
190,3242,5974
191,5085,4131
192,3904,5312
193,2344,6872
194,3597,5619
195,5435,3781
196,3626,5590
197,4713,4503
198,3946,5270
199,3656,5560
200,4373,4843
201,4208,5008
202,4641,4575
203,3949,5267
204,3645,5571
205,3928,5288
206,4748,4468
207,4106,5110
208,3945,5271
209,3674,5542
210,4494,4722
211,3484,5732
212,3951,5265
213,3373,5843
214,3609,5607
215,4067,5149
216,3826,5390
217,3596,5620
218,4977,4239
219,3315,5901
220,2915,6301
221,5038,4178
222,5153,4063
223,3713,5503
224,3979,5237
225,5137,4079
226,5112,4104
227,4156,5060
228,4378,4838
229,3436,5780
230,4207,5009
231,4922,4294
232,6584,2632
233,3519,5697
234,3602,5614
235,2955,6261
236,3429,5787
237,3598,5618
238,3089,6127
239,3090,6126
240,4185,5031
241,3752,5464
242,3856,5360
243,4835,4381
244,2920,6296
245,4666,4550
246,4608,4608
247,4893,4323
248,4233,4983
249,5665,3551
250,3629,5587
251,4417,4799
252,3110,6106
253,3955,5261
254,4647,4569
255,4000,5216
