channels,pos_pixels,neg_pixels
433,989,1315
434,952,1352
435,847,1457
436,1111,1193
437,1026,1278
438,954,1350
439,578,1726
440,981,1323
441,1068,1236
442,1012,1292
443,992,1312
444,1010,1294
445,970,1334
446,1003,1301
447,1065,1239
448,1095,1209
449,700,1604
450,939,1365
451,886,1418
452,1007,1297
453,847,1457
454,882,1422
455,891,1413
456,1071,1233
457,949,1355
458,853,1451
459,859,1445
460,910,1394
461,935,1369
462,1092,1212
463,922,1382
464,970,1334
465,983,1321
466,778,1526
467,775,1529
468,827,1477
469,973,1331
470,1250,1054
471,1007,1297
472,681,1623
473,619,1685
474,1036,1268
475,867,1437
476,1002,1302
477,893,1411
478,959,1345
479,930,1374
480,947,1357
481,1006,1298
482,1122,1182
483,991,1313
484,1142,1162
485,968,1336
486,872,1432
487,963,1341
488,902,1402
489,970,1334
490,697,1607
491,808,1496
492,905,1399
493,774,1530
494,917,1387
495,946,1358
496,915,1389
497,838,1466
498,853,1451
499,1000,1304
500,916,1388
501,986,1318
502,809,1495
503,844,1460
504,897,1407
505,984,1320
506,632,1672
507,979,1325
508,913,1391
509,1017,1287
510,887,1417
511,969,1335
