channels,pos_pixels,neg_pixels
0,153,423
1,172,404
2,195,381
3,195,381
4,288,288
5,246,330
6,159,417
7,164,412
8,122,454
9,134,442
10,111,465
11,338,238
12,205,371
13,182,394
14,223,353
15,181,395
16,148,428
17,171,405
18,197,379
19,190,386
20,168,408
21,167,409
22,155,421
23,158,418
24,145,431
25,145,431
26,148,428
27,116,460
28,170,406
29,102,474
30,138,438
31,107,469
32,170,406
33,112,464
34,160,416
35,125,451
36,159,417
37,163,413
38,141,435
39,144,432
40,135,441
41,72,504
42,135,441
43,95,481
44,136,440
45,187,389
46,169,407
47,155,421
48,134,442
49,149,427
50,151,425
51,169,407
52,180,396
53,122,454
54,143,433
55,123,453
56,170,406
57,185,391
58,156,420
59,158,418
60,140,436
61,197,379
62,150,426
63,147,429
64,81,495
65,157,419
66,133,443
67,164,412
68,162,414
69,185,391
70,144,432
71,151,425
72,123,453
73,120,456
74,164,412
75,167,409
76,125,451
77,142,434
78,136,440
79,190,386
80,115,461
81,130,446
82,149,427
83,156,420
84,148,428
85,157,419
86,112,464
87,113,463
88,138,438
89,147,429
90,219,357
91,198,378
92,189,387
93,135,441
94,193,383
95,167,409
96,125,451
97,79,497
98,165,411
99,184,392
100,135,441
101,175,401
102,217,359
103,176,400
104,147,429
105,146,430
106,213,363
107,155,421
108,146,430
109,199,377
110,179,397
111,119,457
112,146,430
113,119,457
114,163,413
115,115,461
116,117,459
117,142,434
118,200,376
119,182,394
120,122,454
121,172,404
122,187,389
123,117,459
124,276,300
125,130,446
126,114,462
127,173,403
128,200,376
129,190,386
130,147,429
131,149,427
132,136,440
133,121,455
134,185,391
135,157,419
136,131,445
137,159,417
138,125,451
139,165,411
140,161,415
141,176,400
142,319,257
143,255,321
144,153,423
145,192,384
146,216,360
147,211,365
148,154,422
149,161,415
150,154,422
151,176,400
152,124,452
153,145,431
154,167,409
155,140,436
156,113,463
157,110,466
158,134,442
159,132,444
160,169,407
161,189,387
162,195,381
163,177,399
164,100,476
165,87,489
166,148,428
167,177,399
168,109,467
169,167,409
170,194,382
171,124,452
172,168,408
173,203,373
174,155,421
175,161,415
176,133,443
177,124,452
178,95,481
179,189,387
180,101,475
181,130,446
182,217,359
183,73,503
184,181,395
185,143,433
186,155,421
187,154,422
188,88,488
189,151,425
190,192,384
191,218,358
192,183,393
193,217,359
194,168,408
195,153,423
196,175,401
197,172,404
198,131,445
199,200,376
200,302,274
201,173,403
202,176,400
203,173,403
204,158,418
205,141,435
206,168,408
207,169,407
208,119,457
209,236,340
210,112,464
211,193,383
212,180,396
213,195,381
214,167,409
215,102,474
216,164,412
217,119,457
218,129,447
219,138,438
220,170,406
221,157,419
222,169,407
223,182,394
224,172,404
225,173,403
226,136,440
227,147,429
228,150,426
229,162,414
230,148,428
231,247,329
232,203,373
233,228,348
234,132,444
235,135,441
236,131,445
237,171,405
238,126,450
239,274,302
240,143,433
241,175,401
242,147,429
243,126,450
244,132,444
245,186,390
246,173,403
247,112,464
248,160,416
249,107,469
250,153,423
251,132,444
252,162,414
253,181,395
254,176,400
255,113,463
256,148,428
257,140,436
258,184,392
259,158,418
260,189,387
261,183,393
262,121,455
263,96,480
264,143,433
265,212,364
266,137,439
267,147,429
268,191,385
269,53,523
270,103,473
271,169,407
272,160,416
273,162,414
274,166,410
275,137,439
276,133,443
277,90,486
278,258,318
279,99,477
280,188,388
281,159,417
282,150,426
283,95,481
284,167,409
285,186,390
286,95,481
287,148,428
288,164,412
289,187,389
290,125,451
291,188,388
292,106,470
293,162,414
294,149,427
295,188,388
296,210,366
297,160,416
298,74,502
299,162,414
300,158,418
301,154,422
302,150,426
303,112,464
304,153,423
305,95,481
306,116,460
307,165,411
308,202,374
309,171,405
310,132,444
311,134,442
312,232,344
313,213,363
314,156,420
315,159,417
316,188,388
317,161,415
318,169,407
319,124,452
320,158,418
321,102,474
322,157,419
323,106,470
324,169,407
325,147,429
326,153,423
327,127,449
328,184,392
329,147,429
330,143,433
331,150,426
332,210,366
333,190,386
334,166,410
335,186,390
336,197,379
337,108,468
338,181,395
339,162,414
340,136,440
341,130,446
342,83,493
343,133,443
344,197,379
345,82,494
346,190,386
347,196,380
348,149,427
349,158,418
350,133,443
351,123,453
352,188,388
353,164,412
354,113,463
355,131,445
356,131,445
357,214,362
358,186,390
359,146,430
360,135,441
361,201,375
362,171,405
363,110,466
364,131,445
365,146,430
366,125,451
367,132,444
368,154,422
369,105,471
370,171,405
371,151,425
372,145,431
373,133,443
374,172,404
375,191,385
376,174,402
377,188,388
378,147,429
379,110,466
380,152,424
381,169,407
382,170,406
383,145,431
384,249,327
385,139,437
386,97,479
387,139,437
388,108,468
389,184,392
390,186,390
391,184,392
392,135,441
393,190,386
394,140,436
395,158,418
396,160,416
397,171,405
398,163,413
399,276,300
400,147,429
401,31,545
402,153,423
403,142,434
404,137,439
405,200,376
406,249,327
407,223,353
408,195,381
409,224,352
410,117,459
411,140,436
412,129,447
413,179,397
414,110,466
415,173,403
416,155,421
417,240,336
418,262,314
419,193,383
420,225,351
421,103,473
422,155,421
423,208,368
424,148,428
425,181,395
426,146,430
427,192,384
428,117,459
429,166,410
430,144,432
431,172,404
432,185,391
433,150,426
434,303,273
435,150,426
436,190,386
437,127,449
438,172,404
439,161,415
440,109,467
441,202,374
442,244,332
443,183,393
444,138,438
445,207,369
446,111,465
447,151,425
448,120,456
449,178,398
450,174,402
451,237,339
452,143,433
453,216,360
454,139,437
455,182,394
456,189,387
457,104,472
458,119,457
459,173,403
460,215,361
461,164,412
462,143,433
463,178,398
464,201,375
465,233,343
466,165,411
467,150,426
468,148,428
469,141,435
470,115,461
471,143,433
472,147,429
473,191,385
474,189,387
475,136,440
476,176,400
477,190,386
478,178,398
479,144,432
480,103,473
481,145,431
482,202,374
483,131,445
484,149,427
485,157,419
486,222,354
487,149,427
488,224,352
489,131,445
490,174,402
491,112,464
492,188,388
493,299,277
494,176,400
495,160,416
496,194,382
497,129,447
498,145,431
499,151,425
500,98,478
501,196,380
502,201,375
503,126,450
504,170,406
505,181,395
506,163,413
507,169,407
508,113,463
509,252,324
510,161,415
511,150,426
